otu_id	assignment
denovo10732	Granulicatella_adiacens
denovo10737	Actinomyces_georgiae
denovo10738	Streptococcus_infantis
denovo10739	Megasphaera_micronuciformis
denovo1074	Neisseria_sicca
denovo10740	Porphyromonas_catoniae
denovo10742	Porphyromonas_catoniae
denovo10745	Parvularcula_lutaonensis
denovo10747	Prevotella_oris
denovo10749	Campylobacter_rectus
denovo10751	Prevotella_histicola
denovo10752	Lactobacillus_rhamnosus
denovo10754	Streptococcus_sanguinis
denovo10755	Staphylococcus_aureus_subsp._anaerobius
denovo10756	Clostridium_populeti
denovo10760	Staphylococcus_aureus_subsp._anaerobius
denovo10761	Granulicatella_adiacens
denovo10764	Prevotella_veroralis
denovo10765	Streptococcus_peroris
denovo10768	Arthrobacter_tumbae
denovo10769	Dialister_invisus
denovo10770	Rothia_mucilaginosa
denovo10776	Porphyromonas_catoniae
denovo10777	Granulicatella_adiacens
denovo10779	Prevotella_veroralis
denovo10780	Fusobacterium_nucleatum_subsp._polymorphum
denovo10782	Enterococcus_faecalis
denovo10786	Granulicatella_elegans
denovo10788	Streptococcus_mitis
denovo10790	Streptococcus_oralis
denovo10792	Chryseobacterium_palustre
denovo10793	Streptococcus_constellatus_subsp._constellatus
denovo10794	Porphyromonas_catoniae
denovo10795	Dialister_pneumosintes
denovo10798	Tannerella_forsythia
denovo10799	Lactobacillus_gasseri
denovo108	Kistimonas_asteriae
denovo1080	Prevotella_baroniae
denovo10800	Veillonella_tobetsuensis
denovo10802	Prevotella_melaninogenica
denovo10804	Capnocytophaga_sputigena
denovo10806	Enterococcus_faecalis
denovo10809	Streptococcus_parasanguinis
denovo1081	Veillonella_denticariosi
denovo10811	Rothia_mucilaginosa
denovo10812	Streptococcus_infantis
denovo10815	Streptococcus_gallinaceus
denovo10818	Selenomonas_artemidis
denovo10820	Streptococcus_sanguinis
denovo10822	Fusobacterium_nucleatum_subsp._nucleatum
denovo10823	Porphyromonas_catoniae
denovo10827	Streptococcus_parasanguinis
denovo10828	Veillonella_parvula
denovo10829	Alloprevotella_tannerae
denovo10830	Actinomyces_meyeri
denovo10831	Acetobacter_pasteurianus_subsp._pasteurianus
denovo10832	Kocuria_koreensis
denovo10833	Hahella_antarctica
denovo10835	Enterococcus_faecalis
denovo10837	Fusobacterium_nucleatum_subsp._vincentii
denovo10838	Streptococcus_infantis
denovo1084	Veillonella_tobetsuensis
denovo10842	Veillonella_criceti
denovo10843	Paenibacillus_phoenicis
denovo10844	Streptococcus_infantis
denovo1085	Streptococcus_cristatus
denovo10851	Prevotella_nanceiensis
denovo10852	Granulicatella_adiacens
denovo10856	Bacillus_humi
denovo10857	Staphylococcus_epidermidis
denovo10859	Hydrogenibacillus_schlegelii
denovo10863	Rhodococcus_corynebacterioides
denovo10865	Bacteroides_coprocola
denovo10867	Prevotella_denticola
denovo10868	Veillonella_parvula
denovo1087	Lactobacillus_fermentum
denovo10871	Ureaplasma_parvum
denovo10877	Prevotella_oris
denovo10878	Denitratisoma_oestradiolicum
denovo10880	Prevotella_jejuni
denovo10881	Granulicatella_adiacens
denovo10882	Atopobium_rimae
denovo10883	Prevotella_oris
denovo10884	Tannerella_forsythia
denovo10885	Anaerosinus_glycerini
denovo10886	Lactobacillus_fermentum
denovo10887	Shinella_fusca
denovo10889	Veillonella_denticariosi
denovo10890	Prevotella_salivae
denovo10892	Lactobacillus_gasseri
denovo10893	Atopobium_parvulum
denovo10894	Porphyromonas_catoniae
denovo10898	Neisseria_cinerea
denovo10900	Chitinophaga_ginsengisoli
denovo10901	Ureaplasma_parvum
denovo10902	Streptococcus_gordonii
denovo10903	Porphyromonas_gingivalis
denovo10905	Helcococcus_sueciensis
denovo10906	Veillonella_tobetsuensis
denovo10907	Prevotella_jejuni
denovo10908	Geobacillus_stearothermophilus
denovo10909	Porphyromonas_endodontalis
denovo10910	Streptococcus_australis
denovo10911	Fusobacterium_nucleatum_subsp._vincentii
denovo10913	Veillonella_parvula
denovo10916	Phascolarctobacterium_faecium
denovo10919	Lactobacillus_paracasei_subsp._paracasei
denovo1092	Prevotella_melaninogenica
denovo10920	Rothia_mucilaginosa
denovo10923	Georgenia_muralis
denovo10924	Actinomyces_johnsonii
denovo10925	Erythrobacter_flavus
denovo10929	Staphylococcus_aureus_subsp._anaerobius
denovo1093	Ethanoligenens_harbinense
denovo10930	Pelomonas_saccharophila
denovo10931	Prevotella_loescheii
denovo10934	Prevotella_jejuni
denovo10935	Capnocytophaga_gingivalis
denovo10936	Prevotella_melaninogenica
denovo10938	Streptococcus_gordonii
denovo10939	Veillonella_tobetsuensis
denovo10940	Lachnoanaerobaculum_umeaense
denovo10942	Paraprevotella_xylaniphila
denovo10944	Bacteroides_acidifaciens
denovo10950	Corynebacterium_simulans
denovo10952	Fusobacterium_nucleatum_subsp._vincentii
denovo10955	Bulleidia_extructa
denovo10957	Prevotella_nanceiensis
denovo10958	Sphingobium_limneticum
denovo1096	Porphyromonas_catoniae
denovo10960	Abiotrophia_defectiva
denovo10961	Prevotella_nanceiensis
denovo10962	Veillonella_parvula
denovo10963	Shuttleworthia_satelles
denovo10964	Megasphaera_micronuciformis
denovo10966	Granulicatella_elegans
denovo10970	Granulicatella_adiacens
denovo10972	Veillonella_tobetsuensis
denovo10974	Veillonella_tobetsuensis
denovo10976	Rothia_mucilaginosa
denovo10977	Porphyromonas_catoniae
denovo1098	Streptococcus_anginosus
denovo10980	Proteiniborus_ethanoligenes
denovo10981	Alloprevotella_tannerae
denovo10982	Prevotella_baroniae
denovo10983	Porphyromonas_gingivalis
denovo10984	Bifidobacterium_breve
denovo10986	Veillonella_denticariosi
denovo10992	Prevotella_jejuni
denovo10993	Staphylococcus_aureus_subsp._anaerobius
denovo10994	Streptococcus_parasanguinis
denovo10995	Fusobacterium_naviforme
denovo10996	Streptococcus_salivarius_subsp._salivarius
denovo10997	Lactobacillus_fermentum
denovo10998	Gemella_haemolysans
denovo10999	Streptococcus_anginosus
denovo11	Leptotrichia_shahii
denovo11000	Haemophilus_parainfluenzae
denovo11001	Prevotella_oris
denovo11002	Neisseria_sicca
denovo11003	Dialister_invisus
denovo11005	Prevotella_baroniae
denovo11006	Prevotella_intermedia
denovo11007	Staphylococcus_epidermidis
denovo11008	Blautia_glucerasea
denovo11009	Veillonella_parvula
denovo11010	Paenibacillus_thailandensis
denovo11012	Staphylococcus_epidermidis
denovo11013	Gemella_haemolysans
denovo11018	Veillonella_criceti
denovo1102	Prevotella_jejuni
denovo11020	Porphyromonas_catoniae
denovo11021	Haemophilus_influenzae
denovo11022	Prevotella_melaninogenica
denovo11024	Tannerella_forsythia
denovo11025	Prevotella_histicola
denovo11026	Veillonella_tobetsuensis
denovo11029	Porphyromonas_catoniae
denovo1103	Prevotella_jejuni
denovo11031	Fusobacterium_naviforme
denovo11032	Granulicatella_elegans
denovo11033	Leptotrichia_wadei
denovo11034	Veillonella_denticariosi
denovo11037	Streptococcus_anginosus
denovo11038	Alloprevotella_rava
denovo11042	Campylobacter_concisus
denovo11043	Actinomyces_oris
denovo11045	Veillonella_magna
denovo11046	Erwinia_mallotivora
denovo11048	Parvimonas_micra
denovo11050	Staphylococcus_hominis_subsp._hominis
denovo11052	Treponema_socranskii_subsp._socranskii
denovo11053	Prevotella_denticola
denovo11055	Prevotella_melaninogenica
denovo11058	Porphyromonas_gingivalis
denovo1106	Prevotella_intermedia
denovo11061	Lautropia_mirabilis
denovo11062	Dialister_pneumosintes
denovo11063	Ureaplasma_parvum
denovo11064	Veillonella_parvula
denovo11067	Rothia_mucilaginosa
denovo1107	Enterococcus_faecalis
denovo11070	Porphyromonas_catoniae
denovo11075	Gemella_morbillorum
denovo11077	Veillonella_denticariosi
denovo11078	Streptococcus_parasanguinis
denovo1108	Streptococcus_pseudopneumoniae
denovo11080	Neisseria_flavescens
denovo11082	Haemophilus_influenzae
denovo11084	Staphylococcus_aureus_subsp._anaerobius
denovo11089	Belliella_pelovolcani
denovo11090	Dialister_invisus
denovo11098	Streptococcus_lactarius
denovo11099	Staphylococcus_aureus_subsp._anaerobius
denovo11101	Granulicatella_adiacens
denovo11102	Tessaracoccus_bendigoensis
denovo11103	Veillonella_tobetsuensis
denovo11104	Peptoniphilus_koenoeneniae
denovo11105	Leptotrichia_goodfellowii
denovo11107	Alloprevotella_tannerae
denovo11111	Bacteroides_faecichinchillae
denovo11113	Prevotella_maculosa
denovo11117	Alloprevotella_rava
denovo11119	Aggregatibacter_segnis
denovo1112	Neisseria_flavescens
denovo11120	Prevotella_denticola
denovo11122	Rothia_mucilaginosa
denovo11124	Prevotella_melaninogenica
denovo11126	Prevotella_melaninogenica
denovo1113	Megasphaera_micronuciformis
denovo11131	Rothia_mucilaginosa
denovo11133	Veillonella_magna
denovo11137	Prevotella_jejuni
denovo11138	Prevotella_saccharolytica
denovo11142	Alloprevotella_rava
denovo11143	Prevotella_veroralis
denovo11146	Actinomyces_meyeri
denovo11147	Granulicatella_elegans
denovo11149	Treponema_medium
denovo1115	Streptococcus_rubneri
denovo11150	Propionibacterium_acnes
denovo11154	Solirubrobacter_soli
denovo11157	Bacteroides_coprophilus
denovo11158	Lactobacillus_gasseri
denovo1116	Actinobacillus_indolicus
denovo11161	Aquincola_tertiaricarbonis
denovo11165	Staphylococcus_aureus_subsp._anaerobius
denovo11167	Fusobacterium_naviforme
denovo11168	Streptococcus_anginosus
denovo11170	Veillonella_tobetsuensis
denovo11172	Aciditerrimonas_ferrireducens
denovo11173	Selenomonas_noxia
denovo11174	Prevotella_pleuritidis
denovo11179	Lactobacillus_fermentum
denovo1118	Aquihabitans_daechungensis
denovo11180	Streptococcus_tigurinus
denovo11181	Pantoea_gaviniae
denovo11182	Shigella_dysenteriae
denovo11183	Prevotella_salivae
denovo11185	Bacteroides_acidifaciens
denovo11193	Bdellovibrio_bacteriovorus
denovo11196	Actinomyces_meyeri
denovo11197	Neisseria_flavescens
denovo11200	Streptococcus_tigurinus
denovo11202	Actinomyces_dentalis
denovo11205	Tessaracoccus_bendigoensis
denovo11206	Streptococcus_pseudopneumoniae
denovo11207	Enterococcus_faecalis
denovo11209	Romboutsia_ilealis
denovo11210	Prevotella_melaninogenica
denovo11211	Neisseria_cinerea
denovo11215	Fusobacterium_nucleatum_subsp._polymorphum
denovo11217	Staphylococcus_aureus_subsp._anaerobius
denovo11219	Corynebacterium_singulare
denovo1122	Treponema_socranskii_subsp._socranskii
